document_id,stock_code,ticker,year,parts,auditor_tokens,auditor_firm,big4,auditor_method,total_assets_rm000,ta_page,ta_line,profit_rm000,loss_flag,pl_page,pl_line,unit,notes
MDA_5102_GCB_2021,5102,GCB,2021,5102_GCB_2021_AnnualReport_part1_official.txt,BDO,BDO,0,audit_window_p118,101880125,168,"Total assets 101,880,125 98,123,458 N/A N/A",154838455,0,123,"Balance as at 1 January 2021 263,235,660 (720,042) 47,099,030 2,428,506 876,866,023 1,188,909,177 Profit for the year - - - - 154,838,455 154,838,455",RM,
MDA_5102_GCB_2022,5102,GCB,2022,5102_GCB_2022_AnnualReport_part1_official.txt|5102_GCB_2022_AnnualReport_part2_official.txt|5102_GCB_2022_AnnualReport_part3_official.txt,BDO,BDO,0,audit_window_p168,108768791,217,"Total assets 108,768,791 101,880,125",147410462,0,171,"Tax expense 27 (40,670,979) (41,921,403) 375,278 (2,299,955) Profit for the financial year 147,410,462 154,838,455 75,838,032 24,572,107",RM,
MDA_5102_GCB_2023,5102,GCB,2023,5102_GCB_2023_AnnualReport_part1_official.txt|5102_GCB_2023_AnnualReport_part2_official.txt,BDO,BDO,0,audit_window_p175,111434206,210,"Total assets 111,434,206 108,768,791",100925917,0,178,"Tax expense 27 (38,131,969) (40,670,979) (2,643,061) 375,278 Profit for the financial year 100,925,917 147,410,462 8,741,751 75,838,032",RM,
MDA_5102_GCB_2024,5102,GCB,2024,5102_GCB_2024_AnnualReport_part1_official.txt|5102_GCB_2024_AnnualReport_part2_official.txt|5102_GCB_2024_AnnualReport_part3_official.txt,BDO,BDO,0,audit_window_p175,138448421,203,"Total assets 138,448,421 111,434,206",429158425,0,178,"Tax expense 25 (84,653,966) (38,131,969) (1,809,765) (2,643,061) Profit for the financial year 429,158,425 100,925,917 20,071,919 8,741,751",RM,
MDA_5157_SG_2020,5157,SG,2020,5157_SG_2020_AnnualReport_part1_official.txt,Grant Thornton,Grant Thornton,0,audit_window_p68,75528360,69,"TOTAL ASSETS 75,528,360 101,074,963 76,097,025 68,034,463",-30611083,1,115,"RM RM (Loss)/Profit for the financial year (RM) (30,611,083) 452,748",RM,
MDA_5157_SG_2021,5157,SG,2021,5157_SG_2021_AnnualReport_part1_official.txt,Grant Thornton,Grant Thornton,0,audit_window_p68,141319044,69,"TOTAL ASSETS 141,319,044 75,528,360 140,629,733 76,097,025",-4372939,1,117,"RM RM Loss for the financial year (RM) (4,372,939) (30,611,083)",RM,
MDA_5157_SG_2022,5157,SG,2022,5157_SG_2022_AnnualReport_part1_official.txt,Grant Thornton,Grant Thornton,0,audit_window_p69,149579109,70,"TOTAL ASSETS 149,579,109 141,319,044 129,072,450 140,629,733",-4406136,1,113,"RM RM Loss for the financial year (RM) (4,406,136) (4,372,939)",RM,
MDA_5157_SG_2023,5157,SG,2023,5157_SG_2023_AnnualReport_part1_official.txt,Grant Thornton,Grant Thornton,0,audit_window_p69,156259148,70,"TOTAL ASSETS 156,259,148 149,579,109 125,553,740 129,072,450",-7366977,1,114,"2023 2022 Loss for the financial year (RM) (7,366,977) (4,406,136)",RM,
MDA_5157_SG_2024,5157,SG,2024,5157_SG_2024_AnnualReport_part1_official.txt,Grant Thornton,Grant Thornton,0,audit_window_p78,155209310,79,"TOTAL ASSETS 155,209,310 156,259,148 118,232,383 125,553,740",-6063008,1,113,"RM RM Loss for the financial year (RM) (6,063,008) (7,366,977)",RM,
MDA_5187_HBGLOB_2020,5187,HBGLOB,2020,5187_HBGLOB_2020_AnnualReport_part1_official.txt,UHY,UHY,0,auditors_label_p3,419760,77,"Total assets				 2,015 2,017 4,032",-45290,1,58,"(Loss)/Profit for the year, representing total comprehensive (loss)/income for the year				 (45,290) 16,833",RMB'000,ta_manual_verified
MDA_5187_HBGLOB_2021,5187,HBGLOB,2021,5187_HBGLOB_2021_AnnualReport_part1_official.txt,Folks DFK,Folks DFK,0,majority_vote,493477,,"FILLED from next-year comparative: Total assets				 270,308 493,477 419,949 174,738 175,930 172,816",-45290,1,,,RMB'000,profit_manual_verified;ta_from_next_year_comparative
MDA_5187_HBGLOB_2022,5187,HBGLOB,2022,5187_HBGLOB_2022_AnnualReport_part1_official.txt,UHY,UHY,0,auditors_label_p3,270308,59,"Total assets				 270,308 493,477 419,949 174,738 175,930 172,816",-2302,1,87,"Expenses						 (6,096) Loss for the year, representing total comprehensive loss for the financial year		 (2,302)",RMB'000,
