document_id,stock_code,ticker,year,auditor_firm,big4,total_assets_rm000,profit_rm000,loss_flag,unit,notes
MDA_2836_CARLSBG_2020,2836,CARLSBG,2020,PwC,1,636547,166185,0,RM'000,profit_manual_verified;auditor_inferred_PwC;ta_from_next_year_comparative
MDA_2836_CARLSBG_2021,2836,CARLSBG,2021,PwC,1,621471,204365,0,RM'000,profit_manual_verified
MDA_2836_CARLSBG_2022,2836,CARLSBG,2022,PwC,1,1058190,15950,0,RM'000,
MDA_2836_CARLSBG_2023,2836,CARLSBG,2023,PwC,1,1017311,15515,0,RM'000,
MDA_2836_CARLSBG_2024,2836,CARLSBG,2024,PwC,1,1133386,7472,0,RM'000,
MDA_3026_DLADY_2020,3026,DLADY,2020,PwC,1,498845,102958,0,RM'000,
MDA_3026_DLADY_2021,3026,DLADY,2021,PwC,1,701232,248000,0,RM'000,
MDA_3026_DLADY_2022,3026,DLADY,2022,PwC,1,844174,46271,0,RM'000,
MDA_3026_DLADY_2023,3026,DLADY,2023,PwC,1,946876,72394,0,RM'000,
MDA_3026_DLADY_2024,3026,DLADY,2024,PwC,1,1073732,96647,0,RM'000,
MDA_3255_HEIM_2020,3255,HEIM,2020,Deloitte,1,1046708,312968,0,RM'000,
MDA_3255_HEIM_2021,3255,HEIM,2021,Deloitte,1,1088173,154197,0,RM'000,
MDA_3255_HEIM_2022,3255,HEIM,2022,Deloitte,1,1408221,245678,0,RM'000,
MDA_3255_HEIM_2023,3255,HEIM,2023,Deloitte,1,1247429,412824,0,RM'000,
MDA_3255_HEIM_2024,3255,HEIM,2024,Deloitte,1,1280188,386800,0,RM'000,
MDA_3662_MFLOUR_2020,3662,MFLOUR,2020,KPMG,1,2582002,20584,0,RM'000,
MDA_3662_MFLOUR_2021,3662,MFLOUR,2021,KPMG,1,2731613,198542,0,RM'000,
MDA_3662_MFLOUR_2022,3662,MFLOUR,2022,KPMG,1,2731427,154000,0,RM'000,
MDA_3662_MFLOUR_2023,3662,MFLOUR,2023,KPMG,1,2580740,5285,0,RM'000,
MDA_3662_MFLOUR_2024,3662,MFLOUR,2024,KPMG,1,2556457,77223,0,RM'000,
MDA_3689_FN_2020,3689,FN,2020,KPMG,1,3520061,410124,0,RM'000,
MDA_3689_FN_2021,3689,FN,2021,KPMG,1,3631746,395130,0,RM'000,profit_manual_verified
MDA_3689_FN_2022,3689,FN,2022,KPMG,1,4190630,382269,0,RM'000,
MDA_3689_FN_2023,3689,FN,2023,KPMG,1,5111617,542028,0,RM'000,
MDA_4065_PPB_2020,4065,PPB,2020,EY,1,11919227,544038,0,RM'000,
MDA_4065_PPB_2021,4065,PPB,2021,EY,1,12011136,1507115,0,RM'000,ta_from_next_year_comparative
MDA_4065_PPB_2022,4065,PPB,2022,EY,1,12128437,671696,0,RM'000,
MDA_4065_PPB_2023,4065,PPB,2023,EY,1,12317106,787877,0,RM'000,
MDA_4065_PPB_2024,4065,PPB,2024,EY,1,12490965,773033,0,RM'000,
MDA_4707_NESTLE_2020,4707,NESTLE,2020,EY,1,2861400,552710,0,RM'000,ta_external_web;profit_external_web
MDA_4707_NESTLE_2021,4707,NESTLE,2021,EY,1,2984830,569810,0,RM'000,ta_external_web;profit_external_web
MDA_4707_NESTLE_2022,4707,NESTLE,2022,EY,1,3554010,620330,0,RM'000,ta_external_web;profit_external_web
MDA_4707_NESTLE_2023,4707,NESTLE,2023,EY,1,3569220,659870,0,RM'000,ta_external_web;profit_external_web
MDA_4707_NESTLE_2024,4707,NESTLE,2024,EY,1,3649740,415620,0,RM'000,ta_external_web;profit_external_web
